frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
28,-39.6635,168.2068,2190.7627,-22.9483,-464.9626,2478.1467,-15.2441,-676.8970,2515.9153,157.2634,-186.9998,2428.2056,263.5822,-100.1271,2203.6428,169.3332,132.2418,2161.6819,-225.0037,-208.9991,2425.8196,-333.2758,-85.3820,2204.3918,-208.7923,136.5344,2162.1709,103.5380,-708.7729,2657.6965,198.6607,-1073.8197,2448.1807,203.0589,-1328.7322,2768.0198,-135.4995,-713.2964,2631.8301,-206.4392,-1082.1625,2439.2495,-222.9778,-1308.2054,2761.8623,-5.42,-2.49,65.06,-21.04
29,-39.8492,162.6666,2185.0684,-25.7047,-468.4923,2476.9412,-17.9560,-679.9640,2516.9717,155.5695,-190.8114,2429.4578,263.5273,-105.3889,2205.1729,169.7456,126.7152,2160.7393,-227.9731,-212.3533,2426.3552,-333.0526,-90.8281,2202.2249,-209.4027,131.3089,2158.7202,104.8432,-714.1818,2654.6018,199.3247,-1079.4659,2445.1733,203.1180,-1329.3564,2768.9729,-136.4624,-715.3906,2634.9243,-207.6328,-1084.3356,2442.6289,-224.9472,-1314.0793,2762.5227,-5.36,-2.48,64.04,-21.50
30,-40.0328,158.7268,2178.7866,-28.3230,-469.5411,2476.8733,-20.1121,-680.6874,2518.3359,154.0080,-192.3227,2430.8015,263.1417,-107.8373,2206.7661,170.2223,124.7734,2163.2092,-230.6281,-213.1025,2427.9399,-332.2289,-93.0060,2201.4290,-209.6802,129.5064,2156.6836,106.4969,-717.2998,2651.7500,199.6223,-1083.5161,2443.2974,203.2585,-1329.6740,2770.0061,-138.0523,-714.4805,2637.2793,-208.2963,-1084.6381,2447.0457,-227.0293,-1320.3885,2762.4060,-5.22,-2.37,63.30,-22.02
31,-40.2006,156.2672,2172.1348,-30.6837,-468.3283,2477.8350,-21.5643,-679.3618,2519.6245,152.6394,-191.7248,2431.9314,262.3637,-107.7326,2208.0154,170.7163,126.1467,2168.8647,-232.9450,-211.5407,2430.5242,-330.9088,-92.3013,2201.9351,-209.7284,130.7540,2156.1238,108.2574,-718.0790,2649.2737,199.5211,-1085.9344,2442.8384,203.4505,-1329.5292,2771.5637,-140.1687,-711.0657,2638.4490,-208.4201,-1083.3870,2451.8147,-229.1526,-1326.5529,2761.3281,-5.02,-2.14,62.98,-22.58
32,-40.3478,155.0455,2165.1082,-32.6838,-465.1697,2479.5574,-22.3354,-676.2647,2520.7161,151.4850,-189.2975,2432.5105,261.1653,-105.3102,2208.5569,171.2204,130.3643,2177.1895,-234.9001,-208.0494,2433.7688,-329.2146,-89.1016,2203.4487,-209.6210,134.6879,2156.9775,109.9653,-716.5778,2647.3252,199.0019,-1086.6241,2443.8049,203.6498,-1328.7817,2773.7217,-142.6742,-705.8218,2638.3040,-208.0526,-1080.8657,2456.1936,-231.2355,-1331.9802,2759.1008,-4.77,-1.82,63.00,-23.16
33,-40.4763,154.7935,2157.7061,-34.2466,-460.4670,2481.6313,-22.6011,-671.7032,2521.6423,150.5180,-185.3668,2432.2251,259.5652,-100.7708,2208.1553,171.7407,136.8350,2187.3552,-236.4472,-203.0668,2437.1360,-327.2713,-83.8301,2205.4900,-209.4351,140.8693,2158.8679,111.5088,-712.9242,2645.9993,198.0515,-1085.4354,2445.8872,203.8229,-1327.3319,2776.1335,-145.3724,-699.4838,2637.0483,-207.2868,-1077.2806,2459.4907,-233.1898,-1336.1799,2755.5601,-4.48,-1.44,63.22,-23.77
34,-40.5830,155.1758,2149.8743,-35.3432,-454.5826,2483.8909,-22.6118,-666.0297,2522.3704,149.6560,-180.2639,2430.8938,257.6352,-94.2865,2206.7732,172.2843,144.9533,2198.2935,-237.5376,-197.0135,2440.0061,-325.2496,-76.8334,2207.5598,-209.2296,148.8807,2161.2302,112.7756,-707.2883,2645.2881,196.6458,-1082.1899,2448.5034,203.9490,-1325.1344,2778.0964,-147.9813,-692.7033,2635.1323,-206.2469,-1072.7677,2461.1938,-234.9283,-1338.8348,2750.6091,-4.17,-1.04,63.61,-24.40
35,-40.6588,155.8511,2141.5691,-35.9901,-447.8414,2486.2703,-22.6274,-659.5745,2522.8755,148.7852,-174.2731,2428.5364,255.5164,-86.0570,2204.6248,172.8235,154.2356,2208.8130,-238.1179,-190.2545,2441.8220,-323.3535,-68.3343,2209.2695,-209.0506,158.3616,2163.4351,113.6485,-699.8622,2645.1069,194.7530,-1076.7361,2450.9243,204.0384,-1322.2023,2778.7151,-150.2017,-685.9743,2633.1514,-205.0556,-1067.4052,2461.0662,-236.3747,-1339.8234,2744.2698,-3.84,-0.67,64.19,-25.06
36,-40.6943,156.5174,2132.7764,-36.2344,-440.5063,2488.7402,-22.8633,-652.5957,2523.1687,147.7799,-167.6122,2425.4087,253.4074,-76.3244,2202.1421,173.2961,164.3982,2217.7886,-238.1436,-183.0604,2442.1973,-321.7912,-58.4492,2210.4290,-208.9207,169.0372,2164.9351,114.0191,-690.8741,2645.3528,192.3325,-1069.0081,2452.4670,204.1228,-1318.6002,2777.1208,-151.7837,-679.5867,2631.6907,-203.8128,-1061.2446,2459.1868,-237.4741,-1339.1896,2736.7307,-3.50,-0.36,64.98,-25.76
37,-40.6729,156.9569,2123.5312,-36.1765,-432.7527,2491.3333,-23.4361,-645.2520,2523.2964,146.5398,-160.4098,2421.9319,251.5318,-65.3680,2199.8948,173.6045,175.3798,2224.3296,-237.5835,-175.5919,2440.9795,-320.7366,-47.2184,2211.0652,-208.8428,180.7181,2165.4214,113.7951,-680.5794,2645.9656,189.3548,-1059.0729,2452.6804,204.2508,-1314.4663,2772.6907,-152.5961,-673.6271,2631.1772,-202.5742,-1054.3293,2455.9353,-238.1965,-1337.0885,2728.3562,-3.14,-0.13,66.00,-26.49
